date,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,precipitation_probability_max,weather_code,surface_pressure_mean,visibility_mean,cloud_cover_mean,wind_speed_10m_max,suspended
2026-08-10,25.87,90.62,39.9,0.0,63,1001.55,0.0,97.21,31.1,1
2026-08-11,28.04,81.54,4.1,0.0,55,1003.16,0.0,70.08,28.4,0
2026-08-12,27.25,85.96,9.9,0.0,61,1004.86,0.0,93.83,26.5,0
2026-08-13,27.02,86.88,42.0,0.0,65,1005.63,0.0,95.79,27.1,0
2026-08-14,26.6,88.88,23.6,0.0,63,1007.32,0.0,87.29,31.1,0
2026-08-17,25.6,92.29,48.5,0.0,63,1005.99,0.0,99.88,22.0,0
2026-08-18,26.45,85.71,23.5,0.0,63,1004.13,0.0,99.21,24.7,0
2026-08-19,26.11,88.17,26.7,0.0,63,1006.3,0.0,99.46,26.4,0
2026-08-20,27.85,77.33,8.5,0.0,61,1008.38,0.0,93.25,30.0,0
2026-08-21,27.91,77.71,5.3,0.0,63,1008.79,0.0,94.96,26.4,0
2026-08-24,26.23,90.04,19.8,0.0,61,1007.09,0.0,97.17,21.8,1
